,Form,Topic Category,Rank,Type,Polarity
15963,room,concept,7,Top>Location>Facility,P+
15964,room,concept,8,Top>Location>Facility,P+
15966,Gazebo restaurant,entity,2,Top>Location>Facility,P
15967,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
15968,location,concept,2,Top>Location>Address,P
15969,floor,concept,3,Top>Location,P
15970,location,concept,4,Top>Location,P
15971,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
15973,service,concept,7,Top>Product>ProfessionalService,P+
15974,area,concept,8,Top>Location,P
15976,room,concept,10,Top>Location>Facility,P
15977,hall,concept,11,Top>Location>Facility,P+
15979,room,concept,13,Top>Location>Facility,P
15984,friendly,concept,5,Top,P
15985,service,concept,6,Top>Product>ProfessionalService,P
15990,chance,concept,2,Top>OtherEntity,N
15992,food,concept,4,Top>Product>Food,P+
15993,staff,concept,5,Top>Organization,P+
15995,room,concept,7,Top>Location>Facility,P+
15996,room,concept,8,Top>Location>Facility,P+
15998,Gazebo restaurant,entity,2,Top>Location>Facility,P
15999,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16000,location,concept,2,Top>Location>Address,P
16001,floor,concept,3,Top>Location,P
16002,location,concept,4,Top>Location,P
16003,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
16005,service,concept,7,Top>Product>ProfessionalService,P+
16006,area,concept,8,Top>Location,P
16008,room,concept,10,Top>Location>Facility,P
16009,hall,concept,11,Top>Location>Facility,P+
16011,room,concept,13,Top>Location>Facility,P
16016,friendly,concept,5,Top,P
16017,service,concept,6,Top>Product>ProfessionalService,P
16022,chance,concept,2,Top>OtherEntity,N
16024,food,concept,4,Top>Product>Food,P+
16025,staff,concept,5,Top>Organization,P+
16027,room,concept,7,Top>Location>Facility,P+
16028,room,concept,8,Top>Location>Facility,P+
16030,Gazebo restaurant,entity,2,Top>Location>Facility,P
16031,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16032,location,concept,2,Top>Location>Address,P
16033,floor,concept,3,Top>Location,P
16034,location,concept,4,Top>Location,P
16035,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
16037,service,concept,7,Top>Product>ProfessionalService,P+
16038,area,concept,8,Top>Location,P
16040,room,concept,10,Top>Location>Facility,P
16041,hall,concept,11,Top>Location>Facility,P+
16043,room,concept,13,Top>Location>Facility,P
16048,friendly,concept,5,Top,P
16049,service,concept,6,Top>Product>ProfessionalService,P
16054,chance,concept,2,Top>OtherEntity,N
16056,food,concept,4,Top>Product>Food,P+
16057,staff,concept,5,Top>Organization,P+
16059,room,concept,7,Top>Location>Facility,P+
16060,room,concept,8,Top>Location>Facility,P+
16062,Gazebo restaurant,entity,2,Top>Location>Facility,P
16063,hotel,concept,1,Top>Organization>Company>ConsumerGoodsCompany>Discretionary>ConsumerServicesCompany>Hotels,P+
16064,location,concept,2,Top>Location>Address,P
16065,floor,concept,3,Top>Location,P
16066,location,concept,4,Top>Location,P
16067,city,concept,5,Top>Location>GeoPoliticalEntity>City,P
16069,service,concept,7,Top>Product>ProfessionalService,P+
16070,area,concept,8,Top>Location,P
16072,room,concept,10,Top>Location>Facility,P
16073,hall,concept,11,Top>Location>Facility,P+
16075,room,concept,13,Top>Location>Facility,P
16080,friendly,concept,5,Top,P
16081,service,concept,6,Top>Product>ProfessionalService,P
16086,chance,concept,2,Top>OtherEntity,N
16088,food,concept,4,Top>Product>Food,P+
16089,staff,concept,5,Top>Organization,P+
16091,room,concept,7,Top>Location>Facility,P+
16092,room,concept,8,Top>Location>Facility,P+
16094,Gazebo restaurant,entity,2,Top>Location>Facility,P
